2	19	31	43
3	0	3	9
4	8	14	23
5	22	33	41
6	17	24	31
7	14	22	39
8	19	25	36
9	2	4	8
10	10	16	24
11	14	23	32
12	6	11	19
13	4	6	12
14	4	9	14
15	16	24	30
16	5	14	24
17	5	11	15
18	24	34	49
19	17	28	41
20	18	25	32
21	8	13	18
22	8	13	19
23	24	31	39
24	27	37	52
25	15	25	40
26	18	26	36
27	13	22	34
28	14	26	35
29	29	42	56
30	9	16	24
31	14	24	36
32	47	54	63
33	18	29	40
34	21	27	36
35	6	12	19
36	30	36	53
37	8	12	17
38	22	31	39
39	4	8	14
40	22	32	46
41	136	153	174
42	5	10	16
43	21	30	40
44	32	41	52
45	2	9	17
46	22	28	39
47	22	31	54
48	31	37	48
49	6	12	20
50	17	25	37
51	8	14	19
52	22	29	40
53	30	44	56
54	31	41	61
55	9	18	27
56	21	30	37
57	22	32	43
58	22	33	41
59	9	18	24
60	33	43	57
61	25	35	47
62	24	32	46
63	13	19	33
64	116	138	160
65	33	45	56
66	19	29	36
67	9	16	21
68	13	20	29
69	24	36	47
70	26	41	53
71	16	24	33
72	4	7	13
73	28	41	52
74	2	6	11
75	32	40	52
76	3	8	15
77	9	17	26
78	3	6	13
